Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
0.54,25.8,27.12,26.46,-0.38,-4.84,0,0
0.54,25.53,26.89,26.21,-0.21,-5.04,0,0
0.54,25.32,26.69,26,-0.11,-5.07,0,0
0.54,25.08,26.49,25.78,0.02,-5.38,0,0
0.54,24.72,26.24,25.48,0.26,-5.9,0,0
0.54,23.95,25.95,24.95,0.66,-5.6,0,0
0.54,24,25.7,24.85,0.63,-5.07,0,0
20.74,24,25.81,24.9,-0.88,-3.89,-0.19,10.21
21.26,24,26.39,25.2,-3.2,-2.05,-1.1,10.21
28.57,24,27.4,25.7,-5.58,-0.04,-0.03,10.21
34.44,24,28.27,26.14,-5.41,1.79,1.99,10.21
37.7,24,28.84,26.42,-4.29,2.95,3.64,10.21
36.62,24,29.2,26.6,-3.7,3.42,2.69,10.21
36.49,24,29.44,26.72,-3.3,3.19,2.42,10.21
38.01,24,29.56,26.78,-3.23,2.61,4.06,10.21
35.9,24,29.4,26.7,-2.29,1.87,1.94,10.21
34.57,24,29.17,26.59,-1.91,1.18,1.73,10.21
34.02,24,28.72,26.36,-0.77,0.48,0.23,10.21
27.69,24,28.21,26.1,-0.19,-0.19,-0.05,10.21
10.01,27.34,28.03,27.69,-1.21,-3.18,0,0
0.54,27.53,28,27.76,-1.28,-3.88,0,0
0.54,26.68,27.77,27.22,-0.81,-3.88,0,0
0.54,26.38,27.56,26.97,-0.66,-4.18,0,0
0.54,26.11,27.36,26.74,-0.52,-4.55,0,0
0.54,25.81,27.15,26.48,-0.34,-4.94,0,0
0.54,25.49,26.91,26.2,-0.14,-5.34,0,0
0.54,25.19,26.67,25.93,0.03,-5.64,0,0
0.54,24.88,26.42,25.65,0.22,-5.95,0,0
0.54,24.49,26.14,25.32,0.45,-6.62,0,0
0.54,23.94,25.84,24.89,0.77,-6.85,0,0
0.54,23.93,25.6,24.76,0.75,-6.41,0,0
20.74,24,25.77,24.88,-1.14,-5.12,0,10.21
21.26,24,26.58,25.29,-4.38,-2.87,-0.2,10.21
27.41,24,27.68,25.84,-6.09,-0.41,-0.47,10.21
34.64,24,28.37,26.18,-4.51,1.79,2.37,10.21
38.06,24,28.94,26.47,-4.31,3.09,3.47,10.21
38.52,24,29.27,26.64,-3.37,3.47,2.74,10.21
40.76,24,29.49,26.74,-3.14,3.1,2.91,10.21
41.68,24,29.54,26.77,-2.74,2.52,2.75,10.21
40.8,24,29.29,26.65,-1.92,1.89,2.31,10.21
39.76,24,29.24,26.62,-2.5,1.47,2.25,10.21
36.82,24,28.92,26.46,-1.22,0.98,0.48,10.21
32.19,24,28.34,26.17,-0.04,0.45,0.16,10.21
10.01,27.95,28.16,28.06,-1.34,-2.98,0,0
