Total_electricity_consumption,Air_Temperature,Radiant_Temperature,Operative_Temperature,Ground_Floors,External_Infiltration,External_Vent,General_Lighting
0.54,32.25,32.24,32.25,-6.43,0.1,0,0
0.54,32.98,32.95,32.96,-7.25,-0.09,0,0
0.54,33.49,33.6,33.55,-7.39,-0.25,0,0
0.54,34.08,34.28,34.18,-8.4,-0.68,0,0
0.54,34.22,34.41,34.31,-5.89,-1.17,0,0
0.54,33.86,34.19,34.03,-4.48,-1.85,0,0
0.54,33.13,33.61,33.37,-2.68,-2.73,0,0
0.54,32.36,33.18,32.77,-2.76,-3.86,0,0
0.54,31.53,32.79,32.16,-2.56,-4.87,0,0
0.54,30.9,32.4,31.65,-2.27,-5.61,0,0
0.54,30.44,32.04,31.24,-2.04,-5.98,0,0
0.54,30.09,31.71,30.9,-1.82,-6.06,0,0
0.54,29.79,31.39,30.59,-1.61,-6.02,0,0
0.54,29.5,31.1,30.3,-1.41,-6.09,0,0
0.54,29.18,30.81,29.99,-1.19,-6.27,0,0
0.54,28.85,30.52,29.69,-0.96,-6.43,0,0
0.54,29.01,30.33,29.67,-0.98,-4.22,0,0
7.78,24.08,29.73,26.9,1.56,0.45,0,0
6.1,24,28.96,26.48,1.75,0.36,0,0
29.16,24,28.72,26.36,0.46,0.46,0.19,10.21
31.24,24,28.84,26.42,-1.1,1.18,0.84,10.21
37.65,24,29.48,26.74,-3.48,2.46,3.04,10.21
46.49,24,30.07,27.04,-3.66,4.07,4.58,10.21
55.1,24,30.53,27.26,-3.15,5.5,6.01,10.21
55.54,24,30.75,27.37,-2.21,6.33,6.81,10.21
57.52,24,30.92,27.46,-2.21,6.31,5.28,10.21
62.84,25.59,31.09,28.34,-2.73,4.5,7.33,10.21
61.56,24.7,30.91,27.8,-0.95,3.91,6.38,10.21
54.22,24,30.24,27.12,0.54,3.24,5.29,10.21
40.03,24,29.68,26.84,0.8,2.31,1.88,10.21
33.61,24,29.18,26.59,0.97,1.76,0.54,10.21
10.01,28.39,29.09,28.74,-0.71,-1.54,0,0
0.54,29.51,29.28,29.39,-1.12,-2.51,0,0
0.54,28.57,29.16,28.86,-0.68,-2.17,0,0
0.54,28.34,29.04,28.69,-0.55,-2.44,0,0
0.54,28.15,28.93,28.54,-0.45,-2.72,0,0
0.54,27.98,28.8,28.39,-0.35,-2.85,0,0
0.54,27.86,28.67,28.27,-0.28,-2.73,0,0
0.54,27.84,28.58,28.21,-0.29,-2.4,0,0
0.54,27.87,28.5,28.19,-0.32,-2.13,0,0
0.54,27.55,28.37,27.96,-0.15,-3.37,0,0
1.81,24.04,27.87,25.96,1.73,-2.07,0,0
0.54,24,27.37,25.69,1.75,-1.95,0,0
20.88,24,27.32,25.66,0.4,-1.38,0,10.21
